Дата публикации;Статус;ФЗ;Проект;Способ закупки;URL;Организатор;ИНН;Менеджер компании;СМП;Название;Комментарий;ПО, Бренд;ПО, шт;Терминал, Бренд;БТ, шт;Видео, бренд;Видео, шт;ДУТ, Бренд;ДУТ, шт;Регион;Сделок в АМО;Участники;Победитель
25 сентября 2025 г.;Не участвуем;ГК;ТМ;Запрос предложений;https://www.b2b-center.ru/market/view.html?id=4180043&utm_source=seldon&utm_medium=referral&utm_campaign=ref_id;"ПАО ""МТС""";7740000076;Степанов К.;Нет;Заключение договора услуги предрейсовых осмотров водителей ПАО МТС г. Москва. (Очное посещение медработника водителем. Без телемедицины.);10 мо в день;;;;;;;;;Москва;20;;
25 сентября 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/15424954;"020440003498 Государственное коммунальное предприятие ""Областная станция скорой медицинской помощи"" на праве хозяйственного ведения государственного учреждения ""Управление здравоохранения Актюбинской области""";020440003498;;Нет;Услуги мониторинга за автотранспортными средствами посредством системы GPS-мониторинга;поздно найденная закупка;Общие требования;10;Телтоника;10;;;;;Республика Казахстан;;"Alchin
GPS Monitoring
Emerald Sky Innovations
ИП Osman Imperial";"GPS
Monitoring"
25 сентября 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/15425048;"150740006678 Республиканское государственное предприятие на праве хозяйственного ведения ""Национальный центр экспертизы"" Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан";150740006678;;Нет;Услуги по обслуживанию GPS-трекеров;поздно найденная закупка;Общие требования;100;;;;;;;Республика Казахстан;;"Мониторинг плюс
Alchin";Мониторинг плюс
25 сентября 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://td.ccx.kz/open_trades_list;ТОО Оңтүстік Жарық Транзит;050740003632;;Нет;Услуга поставки оборудования (GPS- трекеры, ДУТы), монтаж, интеграция спутникового мониторинга автотранспорта ТОО «Оңтүстік Жарық Транзит».;отменен, плюс монтажи;;;Навтелеком;72;;;Общие требования;1;Республика Казахстан;;;
25 сентября 2025 г.;Нет итогов;ГК;ВА;Ценовой запрос;https://etp.gpb.ru/#nsi/priceorder/directCustomer/orderId/838527;"ООО ""Геоновасервис""";8604071993;Харитонов А.;Нет;" ""Мониторинг рынка для формирования НМЦ на поставку, установку и обслуживание оборудования видеоаналитики внутрикабинного пространства """;плюс монтажи и диспечеризация на 13 мес. Участок Газпромнефть Пальян. Будет объявлена новая процедура;Общие требования;31;;;Общие требования;31;;;Ханты-Мансийский Автономный округ - Югра АО;2;;
26 сентября 2025 г.;Выиграно;ГК;ВА;Запрос предложений;https://www.b2b-center.ru/market/view.html?id=4182101&utm_source=seldon&utm_medium=referral&utm_campaign=ref_id;"ООО ""ТНГ-ГРУПП""";1645019164;Миронов М.;Нет;Установка и обслуживание системы видеоаналитики на транспортных средствах СП21 ВСГРУ ООО ТНГ-Групп, п. Новый Порт, ЯНАО;ТЗ ГПН;Общие требования;50;;;Общие требования;50;;;Республика Татарстан;3;все по ГПН;Проектная среда
26 сентября 2025 г.;Не пошли;СНГ;СМТ;Закуп открытым способом;https://reestr.nadloc.kz/ru/foreignprotocol/get/UlZCUFVsUXVNakF5TlM3UW50Q2FMVGMwTURFeg==?status=1;"АО ""Шубарколь Комир""";020740000236;;Нет;"Установка системы предупреждающей подсветки для визуального определения
периметра работы экскаваторов (ШК)";129 комплектов (подсветка Red Kill Zone). Найдено по просьбе менеджера, не участвуем, поздно сообщено, без согласования договора не пойдем;;;;;;;;;Республика Казахстан;;;
26 сентября 2025 г.;Не участвуем;44;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0122200002525003651;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;2721180057;;Да;Оказание услуг по сопровождению системы спутникового мониторинга автотранспорта и бортовых контроллеров;плюс универсальный блок контроля моточасов работы двигателя 27 шт.;Техноком;27;Техноком;27;;;;;Хабаровский край;;;
26 сентября 2025 г.;Не участвуем;44;СМТ;Электронный аукцион;https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0301300022125000147;ГБУЗ РБ ЦСМП И МК;0274002218;;Нет;Оказание услуг по техническому обслуживанию системы спутникового контроля транспорта ГЛОНАСС/GPS;Установлены Умка, Voyager 2N, Сигнал S-2651, S-2652, Омникомм, Галилео;Общие требования;215;Общие требования;33;;;;;Республика Башкортостан;;;
26 сентября 2025 г.;Не участвуем;44;СМТ;Электронный аукцион;https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373200001325001105;"ГБУЗ ""ГКБ ИМ. В.В. ВЕРЕСАЕВА ДЗМ""";7713034164;;Нет;Электронный аукцион на оказание услуг по техническому обслуживанию и ремонту системы телемедицины ВЕГА (MVS VEGA) для стационара ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ» в 2025-2026 гг.;тех. сопровождение Программно-технические комплекс 4 ед.;;;;;;;;;Москва;;;
